"Claim.Amount","Close.Amount","Disposition_Approve.in.Full","Disposition_Deny","Disposition_Settle","kmeansCluster"
500,500,1,0,0,4
19.1,19.1,1,0,0,4
47,47,1,0,0,4
130,130,1,0,0,4
1587,0,0,1,0,3
411.73,411.73,0,1,0,3
149.95,0,0,1,0,3
1660,0,0,1,0,3
100,100,0,1,0,3
50,0,0,1,0,3
1450,0,0,1,0,3
407.81,0,0,1,0,3
400,0,0,1,0,3
1000,0,0,1,0,3
180,0,0,1,0,3
50,25,0,0,1,2
326.64,163.32,0,0,1,2
200,100,0,0,1,2
100,50,0,0,1,2
110,40,0,0,1,2
4314,2018.26,0,0,1,1
400,200,0,0,1,2
100,50,0,0,1,2
300,150,0,0,1,2
954,954,1,0,0,4
47.55,47.55,1,0,0,4
14,0,1,0,0,4
50,50,1,0,0,4
40,40,1,0,0,4
259,259,1,0,0,4
285,285,1,0,0,4
238.58,239,1,0,0,4
300,300,1,0,0,4
186.38,186,1,0,0,4
20,20,1,0,0,4
53.5,53.5,1,0,0,4
36,36,1,0,0,4
250,0,0,1,0,3
119.81,119.81,0,1,0,3
375,0,0,1,0,3
2815,0,0,1,0,3
1515,50,0,0,1,2
75,37.5,0,0,1,2
1015,855,0,0,1,2
155,77.5,0,0,1,2
291,253.03,0,0,1,2
800,800,1,0,0,4
19.6,20,1,0,0,4
85.4,85.4,1,0,0,4
25,25,1,0,0,4
350,350,1,0,0,4
518,518,1,0,0,4
36.95,37,1,0,0,4
60,60,1,0,0,4
100,100,1,0,0,4
34.5,35,1,0,0,4
75,75,1,0,0,4
225,225,1,0,0,4
39.56,40,1,0,0,4
15.89,15.89,1,0,0,4
140,140,1,0,0,4
61.1,61.1,1,0,0,4
16,16,1,0,0,4
35,35,1,0,0,4
81,81,1,0,0,4
307.8,308,1,0,0,4
58,58,1,0,0,4
23,23,1,0,0,4
268,0,0,1,0,3
19.95,0,0,1,0,3
500,0,0,1,0,3
300,0,0,1,0,3
575,575.77,0,1,0,3
2500,0,0,1,0,3
3000,0,0,1,0,3
11.77,0,0,1,0,3
140,0,0,1,0,3
450,0,0,1,0,3
16.16,0,0,1,0,3
400,0,0,1,0,3
3500,0,0,1,0,3
583.95,0,0,1,0,3
15,0,0,1,0,3
10,0,0,1,0,3
280,0,0,1,0,3
2000,0,0,1,0,3
205,133.3,0,0,1,2
225,199.6,0,0,1,2
70,35,0,0,1,2
700,420,0,0,1,2
75,71.25,0,0,1,2
278,240.3,0,0,1,2
61,30,0,0,1,2
191.69,47.99,0,0,1,2
439,372,0,0,1,2
400,354.12,0,0,1,2
250,48,0,0,1,2
653,325,0,0,1,2
97.5,97.32,0,0,1,2
90,45,0,0,1,2
175,727.97,0,0,1,2
50,25,0,0,1,2
470,350,0,0,1,2
50,25,0,0,1,2
28.34,28.34,1,0,0,4
45,45,1,0,0,4
10,10,1,0,0,4
220,220,1,0,0,4
100,100,1,0,0,4
650,650,1,0,0,4
35,35,1,0,0,4
703,703,1,0,0,4
46.74,46.74,1,0,0,4
1551.22,1551,1,0,0,4
30,30,1,0,0,4
200,200,1,0,0,4
200,200,1,0,0,4
40,40,1,0,0,4
75,75,1,0,0,4
84.78,0,0,1,0,3
200,0,0,1,0,3
30,0,0,1,0,3
2500,0,0,1,0,3
25,0,0,1,0,3
975.01,0,0,1,0,3
1940,1940,0,1,0,1
450,0,0,1,0,3
50,0,0,1,0,3
